Speaker A,     No. And that's not me trying to forget. It happens.                                                                                                                                                                                                                                                                                                                                                                                                               
Speaker B,"     But that's very difficult for your dad. I think, you know, that there are there are things that we talk about. We talk about a lot of things, different things.                                                                                                                                                                                                                                                                                                   "
Speaker A,     Understood.                                                                                                                                                                                                                                                                                                                                                                                                                                                       
Speaker B,"     And I think it's just the way our relationship has evolved in here that we do talk about anything and everything are very personal to you, but then you can't remember because of your memory problem, and when your dad asks you, you can't access it, and then he's left not knowing. That's hard. Yeah. But at the same time, I think it's important for you to have the.                                                                                      "
Speaker A,     Space where I can open up. Yeah.                                                                                                                                                                                                                                                                                                                                                                                                                                  
Speaker B,     And that your your dad doesn't need.                                                                                                                                                                                                                                                                                                                                                                                                                              
Speaker A,"     To know, not at all.                                                                                                                                                                                                                                                                                                                                                                                                                                              "
Speaker B,"     Why I'm bringing it up again is that I think your your dad can see clearly. Your dad is very, very well intentioned, and he loves you dearly and cares greatly for you, but he doesn't understand, I think, the nature of this therapy that it's not like what happens in this raft. It's very different.                                                                                                                                                         "
Speaker A,     Shrink or psychology.                                                                                                                                                                                                                                                                                                                                                                                                                                             
Speaker B,"     Yeah, well, it's not like you might have these kind of behavioral goals that you have to attain. But something came up when he was here. He said that he wrote the letter on your behalf.                                                                                                                                                                                                                                                                         "
Speaker A,     Which letter?                                                                                                                                                                                                                                                                                                                                                                                                                                                     
Speaker B,     He had a letter that he wanted me to sign that you wanted me to disclose.                                                                                                                                                                                                                                                                                                                                                                                         
Speaker A,     What?                                                                                                                                                                                                                                                                                                                                                                                                                                                             
Speaker B,     You have been talking to him.                                                                                                                                                                                                                                                                                                                                                                                                                                     
Speaker A,"     Oh, just my dad. Yeah. That's fine.                                                                                                                                                                                                                                                                                                                                                                                                                               "
Speaker B,"     Yeah, it might be fine for you, but it's not fine for me because it would put me in breach of my that's fine. My ethical guidelines. So I explain that to your dad. But in the letter, he mentioned something about you asking inquiring from him quite a lot about getting married.                                                                                                                                                                              "
Speaker A,     Should I not?                                                                                                                                                                                                                                                                                                                                                                                                                                                     
Speaker B,"     No, I'm not saying you shouldn't, but it's just something that hasn't come up in here before. What's that about?                                                                                                                                                                                                                                                                                                                                                  "
Speaker A,     I'm not at any stage now. I'll be getting married sooner. I'm saying to at the moment. I have been in really good relationships before.                                                                                                                                                                                                                                                                                                                           
Speaker A,"     Probably on a nice this girl from Ace called Naomi Cleary because I've gone out to her for a year and a half, two years, and she was great. I genuinely don't see myself getting married for, say, 1015, maybe even longer years. That's not me avoiding marriage.                                                                                                                                                                                                "
Speaker A,"     It's just I don't see it happening quicker than that. I have been looked before. That girl from Nice, Naomi Flair.                                                                                                                                                                                                                                                                                                                                                "
Speaker A,"     We had a fantastic relationship. We're grown together short enough time. About a year and a half, two years.                                                                                                                                                                                                                                                                                                                                                      "
Speaker A,"     But, like, Daddy was, like, 1718 and, like, share when you're when you're that young, a two and a half year relationship is almost like a 2025 year relationship, like, for an older person.                                                                                                                                                                                                                                                                      "
Speaker B,     Were you going out with Naomi when you had the brain injury?                                                                                                                                                                                                                                                                                                                                                                                                      
Speaker A,     I could have been. I'm not too sure.                                                                                                                                                                                                                                                                                                                                                                                                                              
Speaker B,     Okay. Do you know how the relationship ended or what happened?                                                                                                                                                                                                                                                                                                                                                                                                    
Speaker A,"     Yeah, I broke up with Naomi. We're kind of drifting away. Like she was in college in Dublin. I was in a manufacture.                                                                                                                                                                                                                                                                                                                                              "
Speaker A,"     Different crowd of people. If I'd be heading out from an Oops, like, I'd be heading out, like Manoom PEDs and and, like, I did I did go out go out to Dublin, retire, like, but it was there. Is there a lot more, like, pressure on, say, the nights I'd be I'd be going out in Dublin like this.                                                                                                                                                                "
Speaker A,"     Where are you staying tonight? Usually grand staying, like, say, like student digs or something like that. Like, you you can't you can't go into those too late. Like, I think, like, halfway the latest.                                                                                                                                                                                                                                                         "
Speaker A,"     You can you can, like, claim a bed there, like, pop would be a tip of that. Yes, of course, today. Thanks a lot.                                                                                                                                                                                                                                                                                                                                                  "
Speaker B,     Usually ten to ten. I think it is about you.                                                                                                                                                                                                                                                                                                                                                                                                                      
Speaker A,     There usually be non diamond.                                                                                                                                                                                                                                                                                                                                                                                                                                     
Speaker B,     Yeah.                                                                                                                                                                                                                                                                                                                                                                                                                                                             
Speaker A,"     Where did you get the blue and gray picture, Paul?                                                                                                                                                                                                                                                                                                                                                                                                                "
Speaker B,     It's part of. A set.                                                                                                                                                                                                                                                                                                                                                                                                                                              
Speaker A,"     My colleague, that one. They're nice.                                                                                                                                                                                                                                                                                                                                                                                                                             "
Speaker B,     I'm not sure where exactly.                                                                                                                                                                                                                                                                                                                                                                                                                                       
Speaker A,"     Like, one on my aunts, my mom's side. She's an arts and crafts and high end jewelry shop up and tap the barrel. Witchcraft. That'd be one of the kind of things that they sell in her shop.                                                                                                                                                                                                                                                                       "
Speaker A,"     Then. Let's say if you're buying that in her shop, you wouldn't be paying under 100 for a two pen, say four or 500 for the lovely picture. But I wouldn't I wouldn't pay that much for something like that.                                                                                                                                                                                                                                                       "
Speaker A,      Would you?                                                                                                                                                                                                                                                                                                                                                                                                                                                       
Speaker C,     No.                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Speaker A,"     Like, she's in her shop up in witchcraft and tap of our like, she has the like she's very, very like high end jewelry. Like saying, say, jewelry. Like some jewelry up there that it's nearly it's nearly too expensive, say, to be to be getting for someone as a present or even, say, given to your wife as a wedding ring. Like, remember when I was last in there? I was looking at one of the more expensive rains up there and guess what kind of price it was gone."
Speaker C,     For.                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Speaker B,     5000 or something like that.                                                                                                                                                                                                                                                                                                                                                                                                                                      
Speaker A,"     No, I think it was 97 or 98 grand for a ring like this. It's crazy. Like, even I'd say, even if I was, like, playing professional basketball in the NBA and getting paid multi multimillions, like, I wouldn't I wouldn't be I still wouldn't be buying a range that expensive now, would you?                                                                                                                                                                    "
Speaker B,"     Too much, isn't it?                                                                                                                                                                                                                                                                                                                                                                                                                                               "
Speaker A,"     Still up and lease and straight up at the end. Student I wouldn't go to school at some of the kids to become, like, the extreme riches and wealthiest families from across the world. Only one directory on that school. Maybe this Muslim lad made him saying work boys.                                                                                                                                                                                         "
Speaker A,     But his dad did his out of Oil Street diamond plant and landslike him so his dad wouldn't win. A millionaire wouldn't win. A billionaire wouldn't even win a trillionaire.                                                                                                                                                                                                                                                                                        
Speaker A,"     Is that a zillionaire? More than likely. Hundreds of thousands of zillions take over the world when you're a living. Like, if he wanted to, he could buy all the guard and put up, say, a 50 foot wall around the country and tell everyone, tell the rest of the world to just start off put me I don't think anyone would do it up, though.                                                                                                                     "
Speaker A,     Okay. I remember when I was going to school dublin. Student I wouldn't go to school.                                                                                                                                                                                                                                                                                                                                                                              
Speaker A,"     It's a few kids that become from like, the elite, richest and wealthiest families from across the world. Probably one that one the elite, richest. And this Muslim, I've made him saying work boys have his dad that his dad is an Oil Street diamond minor and landslide him and safety.                                                                                                                                                                         "
Speaker A,"     Talk about the landslide him, but I think he'd landed in every single continent. And say, if you're comparing the land and in terms of the size of Ireland, but Norton saved how many times the size of all of Ireland got north and saved. What do you say? He would have had all over the world?                                                                                                                                                                "
Speaker B,     I have no idea.                                                                                                                                                                                                                                                                                                                                                                                                                                                   
Speaker A,     Between 30 and 35 times the size of all of Ireland?                                                                                                                                                                                                                                                                                                                                                                                                               
Speaker C,     No.                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Speaker A,"     Between 25 and 37. Just like you wouldn't a millionaire wouldn't a Zillionaire. I don't even know what comes after that. Far too much money for his own good, doesn't it? It's twelve and my dad comes in usually ten to.                                                                                                                                                                                                                                         "
Speaker A,     Fantastic. What side of Dolberry on there? South side.                                                                                                                                                                                                                                                                                                                                                                                                            
Speaker B,     Yes. I'm not from Dublin.                                                                                                                                                                                                                                                                                                                                                                                                                                         
Speaker A,     Close enough. We're close enough to Leasing Street area.                                                                                                                                                                                                                                                                                                                                                                                                          
Speaker B,"     We are. Rick said it's a Fitzwilling place, that's.                                                                                                                                                                                                                                                                                                                                                                                                               "
Speaker A,"     Where I'm skilled and repeated six up there. Like the very best teacher as an average, like say, and coming up towards exams, like the go to teachers of the DNC who create the exam papers. I remember when my excience teacher saying that the last two months before the exam. So if you tell me to learn something, you would really need to learn it.                                                                                                        "
Speaker A,"     There's six questions on the AG science paper. Your first question is it's multiple choice. You do eight out of ten, like short answer questions, then you do long enough questions, let's say four.                                                                                                                                                                                                                                                              "
Speaker A,"     Three or four mark questions, and then you have a project that you do for 40% of your result. But like most of it, most of the kids that have begun to school up at the end, they're doing like all got a ones in the project. So that's 40%.                                                                                                                                                                                                                     "
Speaker A,"     The exam passed before they put pen to paper left, which is fairly good. We want to think it's a moment gun skill, at least in street lengths. Go kids that become like the elite richest the elite wealthiest families in the world.                                                                                                                                                                                                                             "
Speaker A,"     I probably wonder. Wealthiest lads, just Muslim lad mason the same work wise that his dad did his dad as an Oil Street Diamond Minor and landslide beside Oil Street and Diamond Minor landslike him. Probably sounds small, but I think you're talking continents that he landed.                                                                                                                                                                                "
Speaker A,"     I think he landed four out of the five continents. I don't think he'd only land in Australia then, but I'd say he probably does now. Being honest with you, public, I genuinely would like to be that ridiculously wealthy.                                                                                                                                                                                                                                       "
Speaker A,      Would you?                                                                                                                                                                                                                                                                                                                                                                                                                                                       
Speaker B,     No.                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Speaker A,     It would bring up enough questions that wouldn't come up if you weren't if you weren't that wealthy.                                                                                                                                                                                                                                                                                                                                                              
Speaker B,     What do you imagine?                                                                                                                                                                                                                                                                                                                                                                                                                                              
Speaker A,"     Come up question the people you're hanging out with, are they hanging out because they like me or hang out makers, they like all the money and then say women are significant others. Are they with me because they like, has all the money? Are they with me because they actually like me? I would have seen a good bit of that now when I was going to school up at the institute and Dunhan. I can particularly say for the dads I had up at the institute, I go to you, lad, say, the age of"
,
Speaker A,     Usually most young ladies that we bring a model. A model say woman to the depths.                                                                                                                                                                                                                                                                                                                                                                                 
Speaker B,     Who did you bring?                                                                                                                                                                                                                                                                                                                                                                                                                                                
Speaker A,"     I brought my girlfriend back to Nice. Naomi Clear. But like, the models models, we say between six foot two and six foot six and hype and say, that's what I just think. Stick ten.                                                                                                                                                                                                                                                                               "
Speaker A,"     We want to think to remember when it's going to go and up with the institute thing. Like, you see you see girls who we say model for, like the the top fashion agencies, like Mo, Chanel, Gucci, proud of Dior. Like, there's there's this one girl, she's from Rockfield and Dublin, but Ashley Finn was a name when she was 1718, she was like nearly every second week she'd be like, down South France doing model shoes, down Netflix.                       "
Speaker A,     Yes in it.                                                                                                                                                                                                                                                                                                                                                                                                                                                        
Speaker B,     Hello. You won't hire and did you leave his camera here? No second. No.                                                                                                                                                                                                                                                                                                                                                                                           
Speaker A,"     Okay, sorry.                                                                                                                                                                                                                                                                                                                                                                                                                                                      "
Speaker B,     You yeah. Did he leave his camera and jackets? His camera and jackets.                                                                                                                                                                                                                                                                                                                                                                                            
Speaker C,     Check the camera.                                                                                                                                                                                                                                                                                                                                                                                                                                                 
Speaker A,     He's not my life.                                                                                                                                                                                                                                                                                                                                                                                                                                                 
Speaker C,"     No, he doesn't.                                                                                                                                                                                                                                                                                                                                                                                                                                                   "
Speaker B,     Leave it here. And give that to the keyboard. That's for you for a second.                                                                                                                                                                                                                                                                                                                                                                                        
Speaker C,"     But to read that, I think it might be good for me to join this section to pause a few things. If you read that for five minutes, it just kind of lists that all they do is they bring you up. I have a few concerns for you that might help you and help me. So it's just my correspondence.                                                                                                                                                                      "
Speaker C,     I asked him to snap.                                                                                                                                                                                                                                                                                                                                                                                                                                              
Speaker B,     I go back just 1 second.                                                                                                                                                                                                                                                                                                                                                                                                                                          
Speaker C,     Yes.                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Speaker B,     So you were to read that for.                                                                                                                                                                                                                                                                                                                                                                                                                                     
Speaker C,"     A second was I asked you to sign up, and I kind of tabulated my thoughts, and whether it's a Pokemon, I vote to say something to go. But the first page is I wrote a different shoe talking to a letter to you, and I asked you to sign it. And I signed it. The second one was, I sent an email to Kate.                                                                                                                                                         "
Speaker C,      She said what's?                                                                                                                                                                                                                                                                                                                                                                                                                                                 
Speaker A,     Kate Teammate.                                                                                                                                                                                                                                                                                                                                                                                                                                                    
Speaker C,"     Teammate. And I think and I said, a little confused, but will I turn up for the list back or turn up here? So my understand. And then the third better is an email to Nyla says it's his understanding that you told me the holiday period or something like that. So there's a confusion in that.                                                                                                                                                                "
Speaker C,"     But I'm very interested in my son and to be there from all kinds. So the first letter is just a summary. I spoke on behalf of Hugh, and I asked you to sign it and said, Hugh, would you like me to see Paul and to speak up for you? Because I feel that my son, because of his condition, every ten minutes he forgets.                                                                                                                                         "
Speaker C,"     And all I really want if it's possible, if it's possible, because I never ask you, what do you say? He will say, I talk at home, and I talk about yes, fact. And then it's like because I know I've been living with my son for seven years, so that's the first thing. So what I wanted was all you have to say.                                                                                                                                                 "
Speaker C,"     This is a solution. He was doing very good, which you hear, and I'll back him to the hill. That's what I want.                                                                                                                                                                                                                                                                                                                                                    "
Speaker C,"     But I don't know. Is there a plan afoot? Is there a goal set that maybe in a year's time you might be able to this or whatever? So I need to know for Hugh's sake, because he doesn't really know what he's doing here. And that's the first page.                                                                                                                                                                                                                "
Speaker C,"     And the second one is I was asking would Lizra have happened to ask they said, no, we're not to do that. Hugh is unique in the whole world, and I live with my son. I really want him home.                                                                                                                                                                                                                                                                       "
